id,screenName,location,text,created
1.61e+18,goldenglobes,"Hollywood, California",Read our 2023 #GoldenGlobes nominee profile -- Glass Onion: A Knives Out Mystery: https://t.co/SsOtCJpzIf https://t.co/V3nquMbV7b,2022/12/31 16:00
1.61e+18,WarnerBrosUK,"London, England","#ElvisMovie has been nominated for 3 #GoldenGlobes, including Best Motion Picture - Drama, @bazluhrmann for Best Director - Motion Picture, and @austinbutler for Best Actor - Motion Picture Drama. Congratulations! https://t.co/ykvK5l6lLr",2022/12/31 10:05
1.61e+18,goldenglobes,"Hollywood, California",Read our 2023 #GoldenGlobes nominee profile -- Everything Everywhere All at Once: https://t.co/WPIzNvITql https://t.co/tAbyYaDXPf,2022/12/29 20:00
1.61e+18,BlueFox94,"King County, WA State, USA","@JoeyGentile1992 @mrbrianrowe I'd LIVE for a Triangle of Sadness upset in Best Picture (Comedy/Musical), but I'd be content with Dolly De Leon taking Best Supporting Actress.

#rubenÃ¶stlund #goldenglobes",2022/12/29 07:24
1.61e+18,hairkeeperspeak,Walnut Creek California,Just a cautionary tale!   Babylon might be the disgusting movie ever made.. wrong on every level and shame on the #GoldenGlobes   and I see every type of movie_¦â,2022/12/29 01:28
1.61e+18,CATMovies,Ashland Oregon,"#BabylonMovie is nominated for 5 #GoldenGlobes, including Best Motion Picture, Musical or Comedy. Experience BABYLON in theatres today. Get your tickets now:  https://t.co/qB7iP6YniT https://t.co/DLkMgTZx7L",2022/12/28 22:01
1.61e+18,goldenglobes,"Hollywood, California",Read our 2023 #GoldenGlobes nominee profile -- Avatar: The Way of Water: https://t.co/7wejqpT9Xo https://t.co/OiPYRT2B7q,2022/12/28 15:00
1.61e+18,goldenglobes,"Hollywood, California",How many 2023 #GoldenGlobes nominations did Everything Everywhere All at Once receive? __ï¸__,2022/12/27 20:39
1.61e+18,GoldDerby,"Los Angeles, CA","The #GoldenGlobes still love Tom Cruise ('Top Gun: Maverick'), but will he love them back? https://t.co/P6GK1u6Yhe",2022/12/27 14:00
1.61e+18,parego,Always on the left side ____,"RevelaÃ§Ã£o excelente no filme #BabylonMovie 
Vivemos a loucura desta obra genial e Ãºnica atravÃ©s dos olhos de  #DiegoCalva 
Merece ser reconhecido no #GoldenGlobes 
A sequÃªncia final do filme Ã© antolÃ³gica https://t.co/3ZiHM1uZXC",2022/12/27 04:05
1.61e+18,ryniguez1,,"Who has seen Guillermo del Toro's Pinocchio? What a feast for the eyes, beautiful animation. And the story, so so good, relevant, touching and beautiful. This movie is deep, gorgeously directed and deserving of a Golden Globe. @RealGDT #pinnochio #Netflix #GoldenGlobes https://t.co/mmNgPbSWbG",2022/12/26 19:51
1.61e+18,Productorcr,Costa Rica,Donde sÃ­ tendrÃ¡ nominaciÃ³n fija es en Vestuario y DiseÃ±o de ProducciÃ³n. Es una joyita! #Elvis #GoldenGlobes #Elvis2022 #Oscars2023 #Oscars https://t.co/a4plR4NTJk,2022/12/26 18:12
1.61e+18,Productorcr,Costa Rica,"No me gustÃ³ el maquillaje y prÃ³tesis que le pusieron a @tomhanks, pero su actuaciÃ³n salvan todo. #Elvis #Elvis2022 #GoldenGlobes https://t.co/TWNKSXe1Qk",2022/12/26 18:07
1.61e+18,Productorcr,Costa Rica,PoniÃ©ndome al dÃ­a con los #GoldenGlobes _ ya vi #Elvis. PelÃ­cula biogrÃ¡fica sobre la estrella del rock y su representante (interpretado por #TomHanks). PelÃ­cula de drama con tintes de thriller. Genial direcciÃ³n de cÃ¡mara y ediciÃ³n poco convencional (muchos recuadros) Sigue _§µ https://t.co/C6drhJd4Pe,2022/12/26 18:05
1.61e+18,tracyharrell65,,#Babylon#BradPitt #MargotRobbie #SilentFilm #Talkies#SingingInTheRain #JimKelly #1952 #GoldenGlobes #Oscars #ScreenActorsGuildAwards #fyp https://t.co/5hdQiX9u1Z,2022/12/25 06:07
1.61e+18,KingOfWomen23,"Bethlehem, PA","Artist: @ElvisPresley | Gold In The Mountains __

Movie:_Kissin' Cousins

Released:_1964 

#GoldenGlobes https://t.co/ov5OlHmeYq",2022/12/24 08:17
1.61e+18,martin_rego,Montreal,"Le film ______________ (Babylone), nommÃ© 5 fois aux prochains #GoldenGlobes, est maintenant _ l'affiche! __ #BabylonMovie

Ma critique __ https://t.co/ctfqhYMwip https://t.co/aEBzTD1Ky1",2022/12/23 18:20
