"nomination-db-card__name","nomination-db-card__name href","nomination-db-card__name href 2","nomination-db-card__nominee__label","nomination-db-card__award","nomination-db-card__award-film","nomination-db-card__award-film href","nomination-db-card__results 2","nomination-db-card__total-awards 3","nomination-db-card__results 3","nomination-db-card__results href","nomination-db-card__total-awards 4","nomination-db-card__results 4","nomination-db-card__results href 2","nomination-db-card__results 5","nomination-db-card__results href 3","nomination-db-card__results 6","nomination-db-card__results href 4","nomination-db-card__total-awards 5","nomination-db-card__results 7","nomination-db-card__results href 5","nomination-db-card__results 8","nomination-db-card__results href 6","nomination-db-card__results 9","nomination-db-card__results href 7"
"Brendan Gleeson","https://www.goldenglobes.com/person/brendan-gleeson","https://www.goldenglobes.com/person/brendan-gleeson","Nominee","Best Supporting Actor - Motion Picture","- Banshees of Inisherin, The","https://www.goldenglobes.com/film/banshees-inisherin","5 Nominations","Director","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Writer","Martin McDonagh","https://www.goldenglobes.com/person/martin-mcdonagh","Colin Farrell,","https://www.goldenglobes.com/person/colin-farrell","Brendan Gleeson,","https://www.goldenglobes.com/person/brendan-gleeson","Cast","Kerry Condon,","https://www.goldenglobes.com/person/kerry-condon","Barry Keoghan","https://www.goldenglobes.com/person/barry-keoghan","",""
"F. Murray Abraham","https://www.goldenglobes.com/person/f-murray-abraham","https://www.goldenglobes.com/person/f-murray-abraham","Nominee","Best Supporting Actor - Television Limited Series/Motion Picture","- White Lotus, The","https://www.goldenglobes.com/tv-show/white-lotus","2 Nominations, 1 Win","Cast","Jennifer Coolidge,","https://www.goldenglobes.com/person/jennifer-coolidge","","Connie Britton,","https://www.goldenglobes.com/person/connie-britton","F. Murray Abraham,","https://www.goldenglobes.com/person/f-murray-abraham","Aubrey Plaza","https://www.goldenglobes.com/person/aubrey-plaza","","","","","","",""
"Eddie Murphy","https://www.goldenglobes.com/person/eddie-murphy","https://www.goldenglobes.com/person/eddie-murphy","Winner","Cecil B. deMille Award","-","","6 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Top Gun: Maverick","https://www.goldenglobes.com/film/top-gun-maverick","https://www.goldenglobes.com/film/top-gun-maverick","Nominee","Best Picture - Drama","","","2 Nominations","Writer","Eric Warren Singer","https://www.goldenglobes.com/person/eric-warren-singer","Cast","Tom Cruise,","https://www.goldenglobes.com/person/tom-cruise","Jennifer Connelly,","https://www.goldenglobes.com/person/jennifer-connelly","Jon Hamm,","https://www.goldenglobes.com/person/jon-hamm","","Ed Harris","https://www.goldenglobes.com/person/ed-harris","","","",""
"Turning Red","https://www.goldenglobes.com/film/turning-red","https://www.goldenglobes.com/film/turning-red","Nominee","Best Picture - Animated","","","1 Nomination","","","","","","","","","","","","","","","","",""
"Close","","https://www.goldenglobes.com/film/close","Nominee","Best Picture - Non-English Language (formerly Foreign Language)","- Close","","1 Nomination","","","","","","","","","","","","","","","","",""
"Carey Mulligan","https://www.goldenglobes.com/person/carey-mulligan","https://www.goldenglobes.com/person/carey-mulligan","Nominee","Best Supporting Actress - Motion Picture","- She Said","https://www.goldenglobes.com/film/she-said","3 Nominations","","","","","","","","","","","","","","","","",""
"Hildur Guðnadóttir","https://www.goldenglobes.com/person/hildur-gudnadottir","https://www.goldenglobes.com/person/hildur-gudnadottir","Nominee","Best Score - Motion Picture","- Women Talking","https://www.goldenglobes.com/film/women-talking","2 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Carolina","","","Nominee","Best Song - Motion Picture","- Where the Crawdads Sing","https://www.goldenglobes.com/film/where-crawdads-sing","1 Nomination","","","","","","","","","","","","","","","","",""
"Hold My Hand","","","Nominee","Best Song - Motion Picture","- Top Gun: Maverick","https://www.goldenglobes.com/film/top-gun-maverick","1 Nomination","Writer","Eric Warren Singer","https://www.goldenglobes.com/person/eric-warren-singer","Cast","Tom Cruise,","https://www.goldenglobes.com/person/tom-cruise","Jennifer Connelly,","https://www.goldenglobes.com/person/jennifer-connelly","Jon Hamm,","https://www.goldenglobes.com/person/jon-hamm","","Ed Harris","https://www.goldenglobes.com/person/ed-harris","","","",""
"Colin Firth","https://www.goldenglobes.com/person/colin-firth","https://www.goldenglobes.com/person/colin-firth","Nominee","Best Actor - Limited Series, Anthology Series or Television Motion Picture","- Staircase, The","https://www.goldenglobes.com/tv-show/staircase","3 Nominations, 1 Win","","","","","","","","","","","","","","","","",""
"Claire Danes","https://www.goldenglobes.com/person/claire-danes","https://www.goldenglobes.com/person/claire-danes","Nominee","Best Supporting Actress - Television Limited Series/Motion Picture","- Fleishman Is in Trouble","https://www.goldenglobes.com/tv-show/fleishman-trouble","6 Nominations, 4 Wins","","","","","","","","","","","","","","","","",""
"Julia Roberts","https://www.goldenglobes.com/person/julia-roberts","https://www.goldenglobes.com/person/julia-roberts","Nominee","Best Actress - Limited Series, Anthology Series or Television Motion Picture","- Gaslit","https://www.goldenglobes.com/tv-show/gaslit","10 Nominations, 3 Wins","","","","","","","","","","","","","","","","",""
